feature,univariate_auc,coefficient,lgbm_importance,model
loudness,0.5175810451110555,-0.0468970435567168,,logistic
loudness_z_genre,0.5227749862539602,-0.0711551124508324,,logistic
mode,0.5090866560757992,0.0335004799828734,,logistic
speechiness,0.509090473066654,0.1186783611742121,,logistic
tempo,0.506805266482279,-0.2147031579069149,,logistic
tempo_z_genre,0.5085134725129379,0.2237915383447945,,logistic
time_signature_num,0.5066638015659001,-0.0245034077016832,,logistic
valence,0.4916527504249736,0.2305767987646181,,logistic
valence_z_genre,0.5135183005855404,-0.2172664920617152,,logistic
acousticness,0.49352904580609336,,32.0,lgbm
artist_mean_acousticness,0.49970031379887886,,227.0,lgbm
artist_mean_danceability,0.5059120478010934,,218.0,lgbm
artist_mean_duration_ms,0.49656287725638865,,261.0,lgbm
artist_mean_energy,0.504220762040533,,183.0,lgbm
artist_mean_instrumentalness,0.48912108435875823,,208.0,lgbm
artist_mean_liveness,0.5060094231507675,,229.0,lgbm
artist_mean_loudness,0.5072979226125466,,191.0,lgbm
artist_mean_speechiness,0.4999134790796387,,241.0,lgbm
artist_mean_tempo,0.5072714620801996,,210.0,lgbm
artist_mean_valence,0.48124772342705024,,211.0,lgbm
danceability,0.5183602487249878,,33.0,lgbm
danceability_z_genre,0.515479265240394,,37.0,lgbm
duration_ms,0.5089335570894225,,47.0,lgbm
energy,0.5002620522955448,,16.0,lgbm
energy_z_genre,0.5037235934444811,,35.0,lgbm
genre_A Capella,0.499966623109756,,2.0,lgbm
genre_Alternative,0.498259444787273,,8.0,lgbm
genre_Anime,0.49827645512949614,,20.0,lgbm
genre_Blues,0.4994088714120485,,12.0,lgbm
genre_Children's Music,0.5084785097626636,,52.0,lgbm
genre_Children’s Music,0.4997663440491854,,1.0,lgbm
genre_Classical,0.49923824379958415,,38.0,lgbm
genre_Comedy,0.4963072791453801,,3.0,lgbm
genre_Country,0.5006817293325804,,2.0,lgbm
genre_Dance,0.5014126380452026,,5.0,lgbm
genre_Electronic,0.49846692223485206,,10.0,lgbm
genre_Folk,0.49933577271484764,,14.0,lgbm
genre_Hip-Hop,0.5024603658583224,,2.0,lgbm
genre_Indie,0.5002370447299292,,12.0,lgbm
genre_Jazz,0.5008035024152885,,9.0,lgbm
genre_Movie,0.502592485422624,,37.0,lgbm
genre_Opera,0.499663797673603,,5.0,lgbm
genre_Pop,0.5019249121795308,,1.0,lgbm
genre_R&B,0.5001484742995848,,8.0,lgbm
genre_Rap,0.5004472140051014,,4.0,lgbm
genre_Reggae,0.5009955627636355,,11.0,lgbm
genre_Reggaeton,0.5001208059148126,,8.0,lgbm
genre_Rock,0.4997639401570726,,4.0,lgbm
genre_Ska,0.49803220610618953,,20.0,lgbm
genre_Soul,0.5014898771069517,,3.0,lgbm
genre_Soundtrack,0.5004609492658098,,3.0,lgbm
genre_World,0.49795606710563467,,7.0,lgbm
instrumentalness,0.5115307823730305,,71.0,lgbm
key_cos,0.5013454220913539,,5.0,lgbm
key_sin,0.49869523144528555,,4.0,lgbm
liveness,0.5153219387705289,,31.0,lgbm
loudness,0.5175810451110555,,31.0,lgbm
loudness_z_genre,0.5227749862539602,,55.0,lgbm
mode,0.5090866560757992,,8.0,lgbm
speechiness,0.509090473066654,,43.0,lgbm
tempo,0.506805266482279,,12.0,lgbm
tempo_z_genre,0.5085134725129379,,9.0,lgbm
time_signature_num,0.5066638015659001,,4.0,lgbm
valence,0.4916527504249736,,18.0,lgbm
valence_z_genre,0.5135183005855404,,29.0,lgbm
